Preset,DN,ferruleOD,beadDistance,tubeOD,tubeID,beadRadius,tipo,tubeHeightCorta,tubeHeightLarga,ferrHeight,gasketThickness,Standard
1/2",Mini,25.20,18.66,12.70,9.40,1.15,larga,12.7,28.6,2.85,1.4,ASME BPE
3/4",Mini,29.20,23.82,19.05,15.75,1.15,larga,12.7,28.6,2.85,1.4,ASME BPE
1",TC50,50.40,37.60,25.40,22.10,1.15,larga,12.7,28.6,2.85,2.25,ASME BPE
1.5",TC64,63.90,50.70,38.10,34.80,1.15,larga,12.7,28.6,2.85,2.25,ASME BPE
2",TC64,74.00,62.10,50.80,47.50,1.15,larga,12.7,28.6,2.85,2.25,ASME BPE
2.5",TC77,87.00,74.96,63.50,60.20,1.15,larga,12.7,28.6,2.85,2.25,ASME BPE
3",TC91,100.00,87.80,76.20,72.90,1.15,larga,12.7,28.6,2.85,2.25,ASME BPE
4",TC119,125.00,113.00,101.60,97.38,1.15,larga,15.9,28.6,2.85,2.25,ASME BPE
6",TC167,179.00,165.40,152.40,146.86,1.15,larga,19.1,38.1,3.50,2.75,ASME BPE
8",TC218,230.00,216.30,203.20,197.66,1.15,larga,19.1,38.1,3.50,2.75,ASME BPE
10",TC268,281.00,267.20,254.00,248.46,1.15,larga,19.1,38.1,4.00,2.75,ASME BPE
12",TC319,332.00,318.10,304.80,298.70,1.15,larga,19.1,44.5,4.00,2.75,ASME BPE
